"percent" "verbalScore"
"1" 4 482
"2" 5 498
"3" 5 513
"4" 6 498
"5" 6 511
"6" 7 479
"7" 9 480
"8" 9 483
"9" 10 475
"10" 10 476
"11" 10 487
"12" 10 494
"13" 12 474
"14" 12 478
"15" 13 457
"16" 13 485
"17" 14 451
"18" 14 471
"19" 14 473
"20" 16 467
"21" 17 470
"22" 18 464
"23" 20 471
"24" 22 455
"25" 23 452
"26" 24 440
"27" 29 460
"28" 37 448
"29" 43 441
"30" 44 424
"31" 45 417
"32" 49 422
"33" 50 441
"34" 52 408
"35" 55 412
"36" 57 400
"37" 58 401
"38" 59 430
"39" 60 433
"40" 62 433
"41" 63 404
"42" 63 424
"43" 63 430
"44" 64 431
"45" 64 437
"46" 68 446
"47" 69 424
"48" 72 420
"49" 73 432
"50" 81 436
